"","lagoslakeid","water_year","res_time_yr","total_Pin_ugl","Pret_coef"
"45","360319",2009,0.0252054789294935,23.3528415291807,13.1941382679452
"46","360319",2010,0.0252054789294935,20.5771968240363,11.6999447398494
"47","360319",2011,0.0252054789294935,19.0911774723543,10.8894183573528
"48","360319",2012,0.0252054789294935,17.7929699093793,10.1745983167497
"49","360319",2013,0.0252054789294935,12.3666916292928,7.1039598367126
"50","360319",2014,0.0252054789294935,12.5626600777335,7.21762160654973
"51","360319",2015,0.0252054789294935,9.95697557137226,5.68466242767938
"52","361058",2005,1.56575342465753,12.2003786849412,3.90593211992935
"53","361058",2006,1.56575342465753,12.2798668157679,3.93169376618215
"54","361058",2007,1.56575342465753,12.4696377820812,3.99310636836572
"55","361058",2008,1.56575342465753,12.4071446254929,3.9728967666749
"56","361058",2009,1.56575342465753,12.4782258194867,3.99588257217403
"57","361058",2010,1.56575342465753,12.3204211791557,3.94482848123466
"58","361058",2011,1.56575342465753,12.8623385275946,4.1197911402483
"59","361058",2012,1.56575342465753,11.7985260889769,3.77534121685892
"60","361058",2013,1.56575342465753,12.392095210857,3.96802789320892
"61","361058",2014,1.56575342465753,12.6962268833753,4.06626845668646
"62","361058",2015,1.56575342465753,12.6440547480105,4.04943864791748
"63","367842",2014,1.8046575676905,79.7785164130409,21.894932656547
"64","449543",2001,2.88273959225171,12.8394328556442,3.50704240079466
"65","449543",2002,2.88273959225171,7.68590205047212,2.04507396263281
"66","449543",2003,2.88273959225171,10.7312088007171,2.92121832966994
"67","449543",2004,2.88273959225171,6.68080474302767,1.74561665134217
"68","449543",2005,2.88273959225171,7.75678491045318,2.06596862060413
"69","449543",2006,2.88273959225171,9.35497781434956,2.53031962731358
"70","449543",2007,2.88273959225171,10.5386333837799,2.8669595622101
"71","449543",2008,2.88273959225171,10.4811048418633,2.85072423777196
"72","449543",2009,2.88273959225171,12.4050047859543,3.38747069290083
"73","449543",2010,2.88273959225171,13.7294913801558,3.75034377568593
"74","449543",2011,2.88273959225171,20.658639442473,5.58262955828426
"75","449543",2012,2.88273959225171,15.9717515789883,4.35428524834565
"76","449543",2013,2.88273959225171,27.3662516967155,7.28020878967634
"77","449543",2014,2.88273959225171,44.7539739554991,11.4638621224087
"78","449543",2015,2.88273959225171,58.1703881422703,14.5489123516787
"79","450041",2001,1.23890414303296,15.2745222300753,5.16748612261394
"80","450041",2002,1.23890414303296,13.3814187371029,4.53227930515051
"81","450041",2003,1.23890414303296,15.6532665087663,5.29327201417434
"82","450041",2004,1.23890414303296,15.0397498160199,5.08930795070086
"83","450041",2005,1.23890414303296,15.8212673830058,5.34893785265357
"84","450041",2006,1.23890414303296,15.4498896220148,5.22577865850531
"85","450041",2007,1.23890414303296,14.9965060921484,5.07489038078323
"86","450041",2008,1.23890414303296,17.3395106089236,5.84857229251292
"87","450041",2009,1.23890414303296,16.9017620951001,5.70512813353225
"88","450041",2010,1.23890414303296,15.7729654345182,5.33294140320667
"89","450041",2011,1.23890414303296,16.9568334624369,5.72320083930861
"90","450041",2012,1.23890414303296,13.6610440863193,4.62682343497342
"91","450041",2013,1.23890414303296,15.1935426815728,5.14053842908823
"92","450041",2014,1.23890414303296,16.3905935584224,5.53700511720371
"93","450041",2015,1.23890414303296,15.8479499801931,5.35777172150917
"94","450098",2001,0.558904109589041,91.3240051790066,31.9971860310751
"95","450098",2002,0.558904109589041,67.9946955705605,24.5469871784729
"96","450098",2003,0.558904109589041,87.8757363140172,30.9122452443741
"97","450098",2004,0.558904109589041,87.1363621389814,30.6789421372457
"98","450098",2005,0.558904109589041,97.9201732505888,34.0588260964389
"99","450098",2006,0.558904109589041,94.3583944144982,32.9477694375747
"100","450098",2007,0.558904109589041,94.0183806583633,32.841441116188
"101","450098",2008,0.558904109589041,130.148216828183,43.9095187995544
"102","450098",2009,0.558904109589041,115.905972677443,39.5979674297955
"103","450098",2010,0.558904109589041,94.7756554449714,33.0781904706351
"104","450098",2011,0.558904109589041,112.748580530523,38.6336356360586
"105","450098",2012,0.558904109589041,66.2261471755164,23.9704890165761
"106","450098",2013,0.558904109589041,78.5024313198361,27.9360073429792
"107","450098",2014,0.558904109589041,113.078352767566,38.7345070058137
"108","450098",2015,0.558904109589041,102.126205430523,35.3645300627531
"109","453515",2001,1.57232883401113,5.55665634952893,1.64298610806287
"110","453515",2002,1.57232883401113,3.70847382865434,0.952256246346349
"111","453515",2003,1.57232883401113,4.71698532159368,1.33466180939968
"112","453515",2004,1.57232883401113,5.11393627367427,1.4814079923566
"113","453515",2005,1.57232883401113,6.3479973280336,1.92701498582777
"114","453515",2006,1.57232883401113,4.95993407801214,1.42469761824841
"115","453515",2007,1.57232883401113,5.90718398561189,1.7695078506665
"116","453515",2008,1.57232883401113,5.90956761692745,1.77036421938399
"117","453515",2009,1.57232883401113,5.97508930637633,1.793883787241
"118","453515",2010,1.57232883401113,6.03831472506506,1.81654204356369
"119","453515",2011,1.57232883401113,6.27189142558976,1.89994239949398
"120","453515",2012,1.57232883401113,5.21550158283371,1.51866195805999
"121","453515",2013,1.57232883401113,6.01115291665128,1.80681242012855
"122","453515",2014,1.57232883401113,6.36644174488576,1.93356873791991
"123","453515",2015,1.57232883401113,7.33329259195032,2.27337792952132
"124","454129",2005,0.0490410948452884,33.9635491362109,17.871399535002
"125","454129",2006,0.0490410948452884,173.672763118363,77.7896587863814
"126","454129",2007,0.0490410948452884,69.8328318625678,34.4616138445312
"127","454129",2009,0.0490410948452884,94.2273571465524,45.1006763586065
"128","454129",2010,0.0490410948452884,368.228272515393,151.370733130899
"129","454129",2011,0.0490410948452884,64.6177912800133,32.1321370164933
"130","454129",2012,0.0490410948452884,64.7566110536253,32.1944375427368
"131","456953",2001,235.497816780822,149.650804823856,6.95182789536247
"132","456953",2002,235.497816780822,189.504783444808,8.5746318105368
"133","456953",2003,235.497816780822,225.074812969956,9.98800920148099
"134","456953",2004,235.497816780822,202.706679597566,9.10266633801851
"135","456953",2005,235.497816780822,293.350389290317,12.6292441978495
"136","456953",2006,235.497816780822,453.547478160061,18.5633305174715
"137","456953",2007,235.497816780822,207.756104949789,9.30351486374018
"138","456953",2008,235.497816780822,220.876531455448,9.82268243298042
"139","456953",2009,235.497816780822,249.39701670932,10.9387147698711
"140","456953",2010,235.497816780822,286.369391247186,12.362907849947
"141","456953",2011,235.497816780822,353.172323267718,14.8821459672889
"142","456953",2012,235.497816780822,235.060156581273,10.3797465482448
"143","456953",2013,235.497816780822,239.620850539509,10.5579950519578
"144","456953",2014,235.497816780822,177.968168909032,8.10955212076069
"145","456953",2015,235.497816780822,176.547902110057,8.05204827551672
"146","457120",2001,0.707671199432791,162.016512761274,50.9643477945243
"147","457120",2002,0.707671199432791,162.17780617993,51.0094453420372
"148","457120",2003,0.707671199432791,162.167917177433,51.0066805390806
"149","457120",2004,0.707671199432791,162.312084659398,51.0469853814253
"150","457120",2006,0.707671199432791,159.340402009831,50.2153099098002
"151","457120",2007,0.707671199432791,162.034601938381,50.9694057889047
"152","457120",2008,0.707671199432791,162.742092590956,51.167176765528
