water_year,lagoslakeid,res_time_yr,total_Pin_ugl,totTNload_gm2yr,TN_removal_gNm2yr,Pret_coef,lake_lon_decdeg,lake_lat_decdeg
2012,447960,0.460273973,35.11795372,244.4925911,17351.28746,13.93462085,-104.3855385,34.6184322
2013,447960,0.460273973,165.0923011,88.71344586,2558.806245,56.2218929,-104.3855385,34.6184322
2014,447960,0.460273973,77.14695924,450.5300118,55023.50466,28.49698645,-104.3855385,34.6184322
2015,447960,0.460273973,56.78766292,218.02248,13975.60137,21.61480373,-104.3855385,34.6184322
2001,449543,2.882739592,12.83943286,106.7513258,3629.206654,3.507042401,-106.0521192,39.59961146
2002,449543,2.882739592,7.68590205,25.70313688,246.730418,2.045073963,-106.0521192,39.59961146
2003,449543,2.882739592,10.7312088,97.63578829,3066.339022,2.92121833,-106.0521192,39.59961146
2004,449543,2.882739592,6.680804743,27.07385521,272.1611793,1.745616651,-106.0521192,39.59961146
2005,449543,2.882739592,7.75678491,46.41398384,753.0653191,2.065968621,-106.0521192,39.59961146
2006,449543,2.882739592,9.354977814,83.08614687,2260.996794,2.530319627,-106.0521192,39.59961146
2007,449543,2.882739592,10.53863338,108.191722,3722.219523,2.866959562,-106.0521192,39.59961146
2008,449543,2.882739592,10.48110484,86.11120988,2418.936519,2.850724238,-106.0521192,39.59961146
2009,449543,2.882739592,12.40500479,108.0505619,3713.055256,3.387470693,-106.0521192,39.59961146
2010,449543,2.882739592,13.72949138,101.1640119,3278.908713,3.750343776,-106.0521192,39.59961146
2011,449543,2.882739592,20.65863944,295.9901291,24892.43645,5.582629558,-106.0521192,39.59961146
2012,449543,2.882739592,15.97175158,71.59105874,1706.850778,4.354285248,-106.0521192,39.59961146
2013,449543,2.882739592,27.3662517,195.2443543,11347.14321,7.28020879,-106.0521192,39.59961146
2014,449543,2.882739592,44.75397396,542.6672313,78185.63444,11.46386212,-106.0521192,39.59961146
2015,449543,2.882739592,58.17038814,629.2459432,103397.0607,14.54891235,-106.0521192,39.59961146
2001,450041,1.238904143,15.27452223,122.1919206,4683.669063,5.167486123,-106.5802688,38.83550291
2002,450041,1.238904143,13.38141874,68.32328209,1562.735516,4.532279305,-106.5802688,38.83550291
2003,450041,1.238904143,15.65326651,120.3551634,4551.626259,5.293272014,-106.5802688,38.83550291
2004,450041,1.238904143,15.03974982,112.0130051,3974.333294,5.089307951,-106.5802688,38.83550291
2005,450041,1.238904143,15.82126738,144.8946634,6461.387028,5.348937853,-106.5802688,38.83550291
2006,450041,1.238904143,15.44988962,134.9004013,5645.730266,5.225778659,-106.5802688,38.83550291
2007,450041,1.238904143,14.99650609,140.7465776,6116.570417,5.074890381,-106.5802688,38.83550291
2008,450041,1.238904143,17.33951061,227.2174682,15109.2952,5.848572293,-106.5802688,38.83550291
2009,450041,1.238904143,16.9017621,189.3675169,10710.88908,5.705128134,-106.5802688,38.83550291
2010,450041,1.238904143,15.77296543,139.2609353,5995.239162,5.332941403,-106.5802688,38.83550291
2011,450041,1.238904143,16.95683346,206.615426,12627.12734,5.723200839,-106.5802688,38.83550291
2012,450041,1.238904143,13.66104409,77.02641887,1959.754821,4.626823435,-106.5802688,38.83550291
2013,450041,1.238904143,15.19354268,107.5473303,3680.471397,5.140538429,-106.5802688,38.83550291
2014,450041,1.238904143,16.39059356,180.1158116,9744.331139,5.537005117,-106.5802688,38.83550291
2015,450041,1.238904143,15.84794998,169.1627863,8655.784131,5.357771722,-106.5802688,38.83550291
2001,450098,0.55890411,91.32400518,1933.289711,860839.6106,31.99718603,-107.2113066,38.47141656
2001,450098,0.55890411,91.32400518,1933.289711,860839.6106,31.99718603,-107.2113066,38.47141656
2001,450098,0.55890411,91.32400518,1933.289711,860839.6106,31.99718603,-107.2113066,38.47141656
2001,450098,0.55890411,91.32400518,1933.289711,860839.6106,31.99718603,-107.2113066,38.47141656
2002,450098,0.55890411,67.99469557,670.6334449,116611.8322,24.54698718,-107.2113066,38.47141656
2002,450098,0.55890411,67.99469557,670.6334449,116611.8322,24.54698718,-107.2113066,38.47141656
2002,450098,0.55890411,67.99469557,670.6334449,116611.8322,24.54698718,-107.2113066,38.47141656
2002,450098,0.55890411,67.99469557,670.6334449,116611.8322,24.54698718,-107.2113066,38.47141656
2003,450098,0.55890411,87.87573631,1556.221564,571495.9959,30.91224524,-107.2113066,38.47141656
2003,450098,0.55890411,87.87573631,1556.221564,571495.9959,30.91224524,-107.2113066,38.47141656
2003,450098,0.55890411,87.87573631,1556.221564,571495.9959,30.91224524,-107.2113066,38.47141656
2003,450098,0.55890411,87.87573631,1556.221564,571495.9959,30.91224524,-107.2113066,38.47141656
2004,450098,0.55890411,87.13636214,1465.240393,510052.8411,30.67894214,-107.2113066,38.47141656
2004,450098,0.55890411,87.13636214,1465.240393,510052.8411,30.67894214,-107.2113066,38.47141656
2004,450098,0.55890411,87.13636214,1465.240393,510052.8411,30.67894214,-107.2113066,38.47141656
2004,450098,0.55890411,87.13636214,1465.240393,510052.8411,30.67894214,-107.2113066,38.47141656
2005,450098,0.55890411,97.92017325,2385.447593,1280137.105,34.0588261,-107.2113066,38.47141656
2005,450098,0.55890411,97.92017325,2385.447593,1280137.105,34.0588261,-107.2113066,38.47141656
2005,450098,0.55890411,97.92017325,2385.447593,1280137.105,34.0588261,-107.2113066,38.47141656
2005,450098,0.55890411,97.92017325,2385.447593,1280137.105,34.0588261,-107.2113066,38.47141656
2006,450098,0.55890411,94.35839441,2275.533471,1171049.447,32.94776944,-107.2113066,38.47141656
2006,450098,0.55890411,94.35839441,2275.533471,1171049.447,32.94776944,-107.2113066,38.47141656
2006,450098,0.55890411,94.35839441,2275.533471,1171049.447,32.94776944,-107.2113066,38.47141656
2006,450098,0.55890411,94.35839441,2275.533471,1171049.447,32.94776944,-107.2113066,38.47141656
2007,450098,0.55890411,94.01838066,2167.436661,1068234.004,32.84144112,-107.2113066,38.47141656
2007,450098,0.55890411,94.01838066,2167.436661,1068234.004,32.84144112,-107.2113066,38.47141656
2007,450098,0.55890411,94.01838066,2167.436661,1068234.004,32.84144112,-107.2113066,38.47141656
2007,450098,0.55890411,94.01838066,2167.436661,1068234.004,32.84144112,-107.2113066,38.47141656
2008,450098,0.55890411,130.1482168,4866.357366,4919067.578,43.9095188,-107.2113066,38.47141656
2008,450098,0.55890411,130.1482168,4866.357366,4919067.578,43.9095188,-107.2113066,38.47141656
2008,450098,0.55890411,130.1482168,4866.357366,4919067.578,43.9095188,-107.2113066,38.47141656
2008,450098,0.55890411,130.1482168,4866.357366,4919067.578,43.9095188,-107.2113066,38.47141656
2009,450098,0.55890411,115.9059727,3444.342438,2561417.654,39.59796743,-107.2113066,38.47141656
2009,450098,0.55890411,115.9059727,3444.342438,2561417.654,39.59796743,-107.2113066,38.47141656
2009,450098,0.55890411,115.9059727,3444.342438,2561417.654,39.59796743,-107.2113066,38.47141656
2009,450098,0.55890411,115.9059727,3444.342438,2561417.654,39.59796743,-107.2113066,38.47141656
2010,450098,0.55890411,94.77565544,2052.111652,963456.6649,33.07819047,-107.2113066,38.47141656
2010,450098,0.55890411,94.77565544,2052.111652,963456.6649,33.07819047,-107.2113066,38.47141656
2010,450098,0.55890411,94.77565544,2052.111652,963456.6649,33.07819047,-107.2113066,38.47141656
2010,450098,0.55890411,94.77565544,2052.111652,963456.6649,33.07819047,-107.2113066,38.47141656
2011,450098,0.55890411,112.7485805,4012.981319,3418043.35,38.63363564,-107.2113066,38.47141656
2011,450098,0.55890411,112.7485805,4012.981319,3418043.35,38.63363564,-107.2113066,38.47141656
2011,450098,0.55890411,112.7485805,4012.981319,3418043.35,38.63363564,-107.2113066,38.47141656
2011,450098,0.55890411,112.7485805,4012.981319,3418043.35,38.63363564,-107.2113066,38.47141656
2012,450098,0.55890411,66.22614718,701.0383865,126794.7784,23.97048902,-107.2113066,38.47141656
2012,450098,0.55890411,66.22614718,701.0383865,126794.7784,23.97048902,-107.2113066,38.47141656
2012,450098,0.55890411,66.22614718,701.0383865,126794.7784,23.97048902,-107.2113066,38.47141656
2012,450098,0.55890411,66.22614718,701.0383865,126794.7784,23.97048902,-107.2113066,38.47141656
2013,450098,0.55890411,78.50243132,1251.111406,378499.9261,27.93600734,-107.2113066,38.47141656
2013,450098,0.55890411,78.50243132,1251.111406,378499.9261,27.93600734,-107.2113066,38.47141656
2013,450098,0.55890411,78.50243132,1251.111406,378499.9261,27.93600734,-107.2113066,38.47141656
2013,450098,0.55890411,78.50243132,1251.111406,378499.9261,27.93600734,-107.2113066,38.47141656
2014,450098,0.55890411,113.0783528,3988.440115,3378683.397,38.73450701,-107.2113066,38.47141656
2014,450098,0.55890411,113.0783528,3988.440115,3378683.397,38.73450701,-107.2113066,38.47141656
2014,450098,0.55890411,113.0783528,3988.440115,3378683.397,38.73450701,-107.2113066,38.47141656
2014,450098,0.55890411,113.0783528,3988.440115,3378683.397,38.73450701,-107.2113066,38.47141656
2015,450098,0.55890411,102.1262054,3435.607489,2549166.568,35.36453006,-107.2113066,38.47141656
2015,450098,0.55890411,102.1262054,3435.607489,2549166.568,35.36453006,-107.2113066,38.47141656
2015,450098,0.55890411,102.1262054,3435.607489,2549166.568,35.36453006,-107.2113066,38.47141656
2015,450098,0.55890411,102.1262054,3435.607489,2549166.568,35.36453006,-107.2113066,38.47141656
2001,453515,1.572328834,5.55665635,84.0618149,2311.388692,1.642986108,-107.5536422,37.39082227
2002,453515,1.572328834,3.708473829,14.89473142,88.06963466,0.952256246,-107.5536422,37.39082227
2003,453515,1.572328834,4.716985322,40.82564187,591.0639833,1.334661809,-107.5536422,37.39082227
2004,453515,1.572328834,5.113936274,59.04361395,1186.278447,1.481407992,-107.5536422,37.39082227
2005,453515,1.572328834,6.347997328,116.9744638,4313.240114,1.927014986,-107.5536422,37.39082227
2006,453515,1.572328834,4.959934078,58.38856859,1161.551592,1.424697618,-107.5536422,37.39082227
2007,453515,1.572328834,5.907183986,93.35988061,2817.724976,1.769507851,-107.5536422,37.39082227
2008,453515,1.572328834,5.909567617,79.04212709,2057.711056,1.770364219,-107.5536422,37.39082227
2009,453515,1.572328834,5.975089306,63.53388937,1362.35482,1.793883787,-107.5536422,37.39082227
2010,453515,1.572328834,6.038314725,61.28670001,1272.804026,1.816542044,-107.5536422,37.39082227
2011,453515,1.572328834,6.271891426,75.00172865,1863.627682,1.899942399,-107.5536422,37.39082227
2012,453515,1.572328834,5.215501583,46.24026827,747.7524444,1.518661958,-107.5536422,37.39082227
2013,453515,1.572328834,6.011152917,54.79026649,1030.102162,1.80681242,-107.5536422,37.39082227
2014,453515,1.572328834,6.366441745,75.81710256,1902.066049,1.933568738,-107.5536422,37.39082227
2015,453515,1.572328834,7.333292592,102.6896607,3372.899323,2.27337793,-107.5536422,37.39082227
2005,454129,0.049041095,1400.900834,18448.6819,60905081.47,491.9757008,-114.2130194,34.36135735
2005,454129,0.049041095,1400.900834,18448.6819,60905081.47,491.9757008,-114.2130194,34.36135735
2005,454129,0.049041095,1400.900834,18448.6819,60905081.47,491.9757008,-114.2130194,34.36135735
2005,454129,0.049041095,1400.900834,18448.6819,60905081.47,491.9757008,-114.2130194,34.36135735
2006,454129,0.049041095,173.6727631,15948.93456,46265876.24,77.78965879,-114.2130194,34.36135735
2006,454129,0.049041095,173.6727631,15948.93456,46265876.24,77.78965879,-114.2130194,34.36135735
2006,454129,0.049041095,173.6727631,15948.93456,46265876.24,77.78965879,-114.2130194,34.36135735
2006,454129,0.049041095,173.6727631,15948.93456,46265876.24,77.78965879,-114.2130194,34.36135735
2007,454129,0.049041095,69.83283185,15391.64474,43260912.45,34.46161384,-114.2130194,34.36135735
2007,454129,0.049041095,69.83283185,15391.64474,43260912.45,34.46161384,-114.2130194,34.36135735
2007,454129,0.049041095,69.83283185,15391.64474,43260912.45,34.46161384,-114.2130194,34.36135735
2007,454129,0.049041095,69.83283185,15391.64474,43260912.45,34.46161384,-114.2130194,34.36135735
2009,454129,0.049041095,94.22735711,13288.79909,32781963.66,45.10067634,-114.2130194,34.36135735
2009,454129,0.049041095,94.22735711,13288.79909,32781963.66,45.10067634,-114.2130194,34.36135735
2009,454129,0.049041095,94.22735711,13288.79909,32781963.66,45.10067634,-114.2130194,34.36135735
2009,454129,0.049041095,94.22735711,13288.79909,32781963.66,45.10067634,-114.2130194,34.36135735
2010,454129,0.049041095,368.2282725,12230.91103,28029271.38,151.3707331,-114.2130194,34.36135735
2010,454129,0.049041095,368.2282725,12230.91103,28029271.38,151.3707331,-114.2130194,34.36135735
2010,454129,0.049041095,368.2282725,12230.91103,28029271.38,151.3707331,-114.2130194,34.36135735
2010,454129,0.049041095,368.2282725,12230.91103,28029271.38,151.3707331,-114.2130194,34.36135735
2011,454129,0.049041095,64.61779129,11700.19566,25777208.96,32.13213702,-114.2130194,34.36135735
2011,454129,0.049041095,64.61779129,11700.19566,25777208.96,32.13213702,-114.2130194,34.36135735
2011,454129,0.049041095,64.61779129,11700.19566,25777208.96,32.13213702,-114.2130194,34.36135735
2011,454129,0.049041095,64.61779129,11700.19566,25777208.96,32.13213702,-114.2130194,34.36135735
2012,454129,0.049041095,64.75661105,10202.48959,19902946.65,32.19443754,-114.2130194,34.36135735
2012,454129,0.049041095,64.75661105,10202.48959,19902946.65,32.19443754,-114.2130194,34.36135735
2012,454129,0.049041095,64.75661105,10202.48959,19902946.65,32.19443754,-114.2130194,34.36135735
2012,454129,0.049041095,64.75661105,10202.48959,19902946.65,32.19443754,-114.2130194,34.36135735
2005,454811,0.239178091,0.226284086,1.757933256,1.558094673,-1.013452049,-111.7266377,34.00798112
2007,454811,0.239178091,177.5791141,2175.032724,1075313.68,66.64861384,-111.7266377,34.00798112
2008,454811,0.239178091,147.654613,21519.08473,81449851.22,56.56509522,-111.7266377,34.00798112
2009,454811,0.239178091,69.40830702,2626.250194,1535027.313,28.78980044,-111.7266377,34.00798112
2010,454811,0.239178091,141.5047317,19004.7711,64417694.33,54.46342738,-111.7266377,34.00798112
2011,454811,0.239178091,53.12206641,1787.872357,742678.5531,22.60625294,-111.7266377,34.00798112
2012,454811,0.239178091,66.96846677,1452.529316,501730.5788,27.87593984,-111.7266377,34.00798112
2013,454811,0.239178091,99.13314402,5097.372576,5369254.797,39.64605306,-111.7266377,34.00798112
2014,454811,0.239178091,108.0550919,2007.137149,923976.7412,42.82128291,-111.7266377,34.00798112
2015,454811,0.239178091,100.6144474,4577.414516,4382172.541,40.17556754,-111.7266377,34.00798112
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
