"","lagoslakeid","water_year","fluxTN_kgy","fluxTP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","p.value_TN","p.value_TP","lake_namelagos"
"356","455356",2011,1506700.36706524,177297.778928065,374455.292084377,44282.9420992348,2.11797246407741e-12,0,"Great Salt Lake; Gunnison Bay"
"357","455356",2012,668300.861338078,78018.7159876239,118670.452760274,12902.5832673307,2.11797246407741e-12,0,"Great Salt Lake; Gunnison Bay"
"358","455356",2013,331455.843030828,40579.3093217991,55224.8284217689,6807.34328849699,2.11797246407741e-12,0,"Great Salt Lake; Gunnison Bay"
"359","455356",2014,287315.959929347,35120.6032360135,50223.9103619046,6559.06357812282,2.11797246407741e-12,0,"Great Salt Lake; Gunnison Bay"
"360","455356",2015,290125.589709873,34395.7234803651,52751.8680437033,7053.92074634675,2.11797246407741e-12,0,"Great Salt Lake; Gunnison Bay"
"361","457120",2001,180724.329024421,53262.5363823801,27397.2685050607,3166.95840903097,0,0,"Lahontan Reservoir"
"362","457120",2002,170058.332581274,52427.3408287425,21222.1626772528,3101.15949368536,0,0,"Lahontan Reservoir"
"363","457120",2003,162473.674376453,52798.3167089694,17753.862515089,3128.49560837127,0,0,"Lahontan Reservoir"
"364","457120",2004,173151.755209932,54776.7618306877,21987.6406017525,3269.80782448078,0,0,"Lahontan Reservoir"
"365","457120",2005,152267.449414636,51039.2912853522,17570.7801976796,3063.48134025471,0,0,"Lahontan Reservoir"
"366","457120",2006,376260.336287935,87997.7308457663,85858.1168824142,5845.3956660957,0,0,"Lahontan Reservoir"
"367","457120",2007,179242.27303823,56494.3481727906,23458.5499743253,3355.52532241436,0,0,"Lahontan Reservoir"
"368","457120",2008,145536.292940097,46632.5811239242,18399.7426073116,2749.15986830536,0,0,"Lahontan Reservoir"
"369","457120",2009,161815.527911571,49372.1568152498,19255.7308254869,2927.43435869073,0,0,"Lahontan Reservoir"
"370","457120",2010,190533.206856141,52577.7142179803,22567.0185934434,3150.05324792533,0,0,"Lahontan Reservoir"
"371","457120",2011,308514.091855439,66755.3963218435,52623.2249670971,4225.72373378589,0,0,"Lahontan Reservoir"
"372","457120",2012,223985.377159663,52193.9935807531,34486.4353629929,3082.73198585405,0,0,"Lahontan Reservoir"
"373","457120",2013,216748.800936855,46877.2654583625,40926.1823602549,2749.45772962558,0,0,"Lahontan Reservoir"
"374","457120",2014,141200.041146673,28100.2154417326,35080.5724320936,1651.30538388836,0,0,"Lahontan Reservoir"
"375","457120",2015,73215.1369471736,14130.714086209,21967.702251148,817.795283602861,0,0,"Lahontan Reservoir"
"376","449543",2001,37544.0870005403,1063.34935931919,4442.21241427735,162.344674220615,0,0,"Dillon Reservoir"
"377","449543",2002,22013.0806873714,253.073637798011,2172.80351399378,36.921227792192,0,0,"Dillon Reservoir"
"378","449543",2003,50688.9671779302,972.114880887493,7427.21856892561,175.408749992291,0,0,"Dillon Reservoir"
"379","449543",2004,32989.1827626957,266.756615223497,3139.08115892316,36.6862208549113,0,0,"Dillon Reservoir"
"380","449543",2005,47178.7502895564,460.253280532059,5051.40981996098,61.3270986080182,0,0,"Dillon Reservoir"
"381","449543",2006,67603.3520305233,826.297165780048,8723.66371426108,129.252852088483,0,0,"Dillon Reservoir"
"382","449543",2007,74492.6742989378,1077.27334740974,10950.1668854593,191.009704389802,0,0,"Dillon Reservoir"
"383","449543",2008,61067.1359744043,857.293281650064,7347.28290686834,123.527120104447,0,0,"Dillon Reservoir"
"384","449543",2009,62393.1508374083,1077.24727918037,7817.53836020945,170.882572941254,0,0,"Dillon Reservoir"
"385","449543",2010,49553.0690139819,1008.17404018309,7434.10142079481,202.162240346271,0,0,"Dillon Reservoir"
"386","449543",2011,66407.5000579153,2956.18980565634,17494.9669470098,1121.38400469868,0,0,"Dillon Reservoir"
"387","449543",2012,29656.3655300438,712.133358423443,7238.8466084203,239.009976646959,0,0,"Dillon Reservoir"
