"","lagoslakeid","water_year","totaldepnitrogen_kgperha","flux","lake_lon_decdeg","lake_lat_decdeg","totTNload_gm2yr","TN_removal_gNm2yr"
"635","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"636","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"637","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"638","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"639","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"640","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"641","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"642","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"643","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"644","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"645","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"646","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"647","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"648","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"649","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"650","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"651","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"652","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"653","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"654","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
